,BalancedRandomForest,RandomForest,AdaBoost,XGBoost,LightGBM,Bagging,GradientBoosting,BalancedBagging,EasyEnsemble,RUSBoost,KNeighbors,LogisticRegression,DecisionTree,Pruning_DecisionTree,NaiveBayes
10,0.5427646491466038,0.5297083400334307,0.5923557980410621,0.5983053653916297,0.5935515799442218,0.551569463910168,0.5994835876920552,0.556274211083522,0.5994148903363499,0.6038613734181467,0.5653145456416728,0.6036495880444998,0.5103789610326877,0.6062179249261412,0.5999691869136565
11,0.8746670880711556,0.8962679249884005,0.9226227752582254,0.9292208695134481,0.9351101180545305,0.8951193995394997,0.9286604460501471,0.9013081232453072,0.9080147261813538,0.9258326649291307,0.7333943175026217,0.9444498126358176,0.7404022723287431,0.8950357183975758,0.9323700262306716
12,0.9993334469622844,0.998771447976981,0.9605963902635327,0.9698312728049328,0.9776569778218238,1.0,0.975143827742874,1.0,0.9602019480705678,0.9627577688080088,1.0,0.9348521383118401,0.9972624633632586,0.8937214558828337,0.8488801014982925
13,0.6651149670623436,0.6709746439398036,0.9236685205838127,0.9269516835865754,0.9232506100148772,0.7755612282554967,0.9240935153422634,0.8091606144099257,0.9039342501942118,0.9245083844393202,0.5283638116945059,0.9371024419695193,0.5783734419288689,0.8579611791917703,0.9445670641598054
14,0.9363804770286859,0.9379498939627728,0.9541191282474415,0.9619412044421285,0.9660537481237469,0.9382263103399126,0.9600865027376102,0.9519800236852758,0.959269922623945,0.9555758196975033,0.8141965454953528,0.9667969382528504,0.8471871526368506,0.9397755610887361,0.9651588864785923
15,0.9999697336561744,0.9998931623931624,0.9531113661494132,0.9809916998053477,0.9938117430213254,1.0,0.9799664962337673,1.0,0.9597164396682096,0.9629489304418527,1.0,0.9746893898601044,0.999203959363304,0.915245401254636,0.9669625908345754
16,0.8072158861345671,0.7845731816918061,0.933309005210791,0.9277054005781084,0.9238137946348763,0.811048080334438,0.9314240984454607,0.8496419980654085,0.9351987536885019,0.9339840622491437,0.5486703056956689,0.8398654794026491,0.5562435399811343,0.9039844484657167,0.9182220972355271
18,1.0,0.9998931623931624,0.9531113661494132,0.9788134243867717,0.9938117430213254,1.0,0.978557761347771,1.0,0.9575427880803525,0.962917406218381,1.0,0.9746893898601044,0.999203959363304,0.915245401254636,0.9669625908345754
19,0.4163343678464308,0.5852453888205705,0.8097689816747605,0.7491858312549202,0.6715739258223742,0.6945970172184064,0.7540073515302669,0.6464184015663742,0.8464788253618842,0.8548412715837334,0.4394282093488256,0.7277944490868183,0.434277407423143,0.7854271434822472,0.810044957947855
1,0.7047278576685218,0.7342441875325383,0.6650331921967403,0.6367784357572542,0.6962204332851243,0.7387769989356505,0.6769584971793539,0.718334538688131,0.6443914601205358,0.7110995360820052,0.7008931202610009,0.7325892621554752,0.7348924315803895,0.7065752541904824,0.8145873109551944
20,0.5553056367453993,0.5890421471771538,0.6412805480344548,0.6544264003336593,0.6270883999607836,0.5303725384568908,0.6507723345046378,0.5711950316845831,0.625291173396599,0.6199483325996432,0.4222428467824537,0.9360349048164993,0.451533605099829,0.8668815275645205,0.8692240262878415
2,0.5213244996054006,0.5117616559545304,0.5607529937747258,0.580933502865243,0.5683705850714912,0.5412059361008157,0.5807396813252262,0.5157062496880522,0.5622205046418879,0.5838329557893056,0.5102265341396336,0.5734109104743498,0.428760271854173,0.5646670156364275,0.5986499783189168
3,0.2314688219720728,0.2927229873439058,0.3467225910635956,0.4845610132772592,0.462979105221436,0.4344374929592142,0.47375675376466714,0.3985187376526992,0.40825809682263436,0.5054845231486256,0.33978972601813445,0.857108830526306,0.40950199238136575,0.5600961223129332,0.8642420573740779
4,0.5995109996023755,0.7579899354103796,0.8857355277639449,0.9231962662006861,0.9164630150733613,0.8822709682838024,0.9391632191985233,0.6659895144812928,0.9589345169559135,0.9598770378649352,0.5912457911285891,0.9578083367943485,0.42739054981916347,0.8705082905970378,0.9686229385592258
6,0.6481734928703252,0.6410434324622645,0.6979262846202128,0.6987857781369068,0.6973275462548916,0.6497835840925111,0.6924352349169719,0.6651796065264133,0.6947419764258482,0.6978875631679438,0.5389599947395484,0.6850486976506659,0.5418068644037423,0.6850476676890711,0.6811024083488464
7,0.5459357556303113,0.5696011460555702,0.6424994902538412,0.6686904694125222,0.6664565683544693,0.5990838921644258,0.6672546066174594,0.6088103312520723,0.6499871938652384,0.6496043033077644,0.4669332841333631,0.5933663162597068,0.48392384895930024,0.6461487201598453,0.6303547631800058
8,0.5800851482077309,0.6416542276867218,0.8496369210433883,0.8015584305909208,0.7900205881006567,0.7535302341056035,0.8140054981260161,0.7265165748362785,0.8360568633079417,0.850874525800658,0.5421949041458829,0.837844786211922,0.5178131710305207,0.8577391414979985,0.8939432840353382
9,0.9992549996883794,0.9986961533731182,0.9605963902635327,0.970302163870938,0.9776569778218238,1.0,0.9728179276481214,1.0,0.9607955279706264,0.9641870418980026,1.0,0.9348349752876679,0.9972624633632586,0.8937214558828337,0.8488801014982925
