Method,Process ID,Best ROC-AUC,lin/nonlin
TD2C_Ranking_4,4,0.950989181939223,nonlinear
,13,0.9500263280750897,nonlinear
,20,0.9602950434981684,linear
TD2C_Ranking_PastFut,7,0.8538527835750529,nonlinear
,10,0.6411666574126704,nonlinear
,19,0.8880717802471866,linear
TD2C_Ranking_3,2,0.8044032943495381,nonlinear
,6,0.8021431057346184,nonlinear
TD2C_Ranking_1_2_Var,8,0.9046317300220528,nonlinear
,14,0.9974373597427476,nonlinear
TD2C_Ranking_5,1,0.872446174796673,nonlinear
TD2C_Ranking_7,3,0.8655366155508256,nonlinear
TD2C_Ranking_2,11,0.9891123690844597,nonlinear
TD2C_Ranking_6,16,0.9435498104904354,nonlinear
