method,ROC-AUC,Precision,Recall,F1
TD2C_Ranking_1_2_Var,0.8835258232013196,,,
TD2C_Ranking_4,0.880353620559643,,,
TD2C_Ranking_NoCont,0.8741866334838654,,,
TD2C_Ranking_1_1_Var,0.873576561801566,,,
TD2C_Ranking_3,0.8733803766055811,,,
TD2C_R,0.8718456306219083,,,
TD2C_Ranking_6,0.8671725126994201,,,
TD2C_Ranking_2,0.8640792536646603,,,
TD2C_Ranking_4,,0.7388424585260829,,
TD2C_Ranking_1_2_Var,,0.7112790267545493,,
TD2C_Ranking_1_1_Var,,0.6988120651252605,,
TD2C_Ranking_6,,0.6914574871229241,,
TD2C_Ranking_NoCont,,0.6821898114164626,,
TD2C_R,,0.6771543303506583,,
TD2C_Ranking_2,,0.6661577257520871,,
TD2C_Ranking_PastFut,,0.6610649466978479,,
TD2C_Ranking_4,,,0.6547054122574956,
TD2C_Ranking_1_2_Var,,,0.6417305996472663,
TD2C_Ranking_1_1_Var,,,0.6279968584656085,
TD2C_Ranking_5,,,0.627103725749559,
TD2C_Ranking_6,,,0.6209898589065256,
TD2C_Ranking_NoCont,,,0.6095687279541446,
TD2C_R,,,0.5953221450617283,
TD2C_Ranking_3,,,0.5937433862433862,
TD2C_Ranking_4,,,,0.6645771481939834
TD2C_Ranking_1_2_Var,,,,0.6425303040278103
TD2C_Ranking_1_1_Var,,,,0.630039236923818
TD2C_Ranking_6,,,,0.6218130820038203
TD2C_Ranking_NoCont,,,,0.6104670738871992
TD2C_R,,,,0.6013555820390326
TD2C_Ranking_5,,,,0.5966069921646888
TD2C_Ranking_2,,,,0.5906965545716759
