method,ROC-AUC,Precision,Recall,F1,points
TD2C_Ranking_4,0.4355363433832694,0.10102815416155025,0.1266195987654321,0.052399104222892984,0.7155832005331447
TD2C_Ranking_1_2_Var,0.43412053871702216,0.09876271677191449,0.12475148809523809,0.0509342635387966,0.7085690071229713
TD2C_Ranking_1_1_Var,0.43238956552262797,0.09583976477269504,0.12413503086419753,0.05051872967766217,0.7028830908371827
TD2C_Ranking_5,0.4320146203789557,0.09561170072705578,0.12398396164021164,0.05040757406357123,0.7020178568097943
TD2C_Ranking_6,0.4307249063517568,0.09546174449109633,0.12338519620811289,0.049973994237630395,0.6995458412885963
TD2C_Ranking_NoCont,0.4287079652816019,0.09405897680982506,0.12224503968253969,0.04699646923572343,0.69200845100969
TD2C_Ranking_3,0.4223720761744711,0.08876569517855432,0.11588255070546737,0.04619701795760625,0.673217340016099
TD2C_Ranking_PastFut,0.4206913254482369,0.08787891949282596,0.1129802138447972,0.045642143101803555,0.6671926018876636
TD2C_R,0.4202198487731071,0.08686646889358716,0.11275622795414462,0.04460156564683438,0.6644441112676732
TD2C_Ranking_2,0.4174351532105811,0.07918786358526322,0.11255836640211642,0.043102438794271655,0.6522838219922323
TD2C_Ranking_7,0.41237922176178854,0.07703626066522568,0.10741352513227514,0.042827037867936735,0.6396560454272261
D2C_R,0.3940038472710966,0.07048617891941647,0.10738111772486772,0.03807470809936623,0.6099458520147469
